# cec_bench v1.0+46074dd  2026-06-13T16:34:06
===BURST_CSV_BEGIN===
# stream: 2048 frames in 126064 us (~16.2 kSPS link), 472 underruns, dropcount 0->0 (0 lost); nominal 25 kSPS
us,drop,i3,i4,i5,vrail,vcc,i8
15280.0,0,0.0857,0.1044,0.1065,11.9973,4.8300,0.0883
15320.0,0,0.1177,0.1349,0.1340,11.9982,4.8318,0.1249
15360.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15400.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15480.0,0,0.2337,0.2555,0.2637,11.9982,4.8309,0.2363
15520.0,0,0.2352,0.2585,0.2576,12.0000,4.8288,0.2470
15560.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15600.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15680.0,0,0.1391,0.1578,0.1599,12.0008,4.8276,0.1448
15720.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15760.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15840.0,0,0.1543,0.1685,0.1691,12.0017,4.8315,0.1554
15880.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15920.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16000.0,0,0.1437,0.1624,0.1614,12.0026,4.8352,0.1478
16040.0,0,0.1437,0.1670,0.1629,12.0034,4.8355,0.1539
16080.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16120.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16200.0,0,0.1574,0.1746,0.1858,12.0034,4.8349,0.1631
16240.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16360.0,0,0.2764,0.2921,0.2988,12.0034,4.8245,0.2867
16400.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16520.0,0,0.2306,0.2585,0.2637,12.0026,4.8199,0.2424
16560.0,0,0.2505,0.2768,0.2804,12.0017,4.8206,0.2592
16600.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16720.0,0,0.2749,0.3074,0.3110,11.9991,4.8230,0.2897
16760.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16880.0,0,0.1452,0.1593,0.1645,11.9991,4.8251,0.1478
16920.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
16960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17040.0,0,0.1070,0.1227,0.1187,12.0034,4.8276,0.1173
17080.0,0,0.1116,0.1166,0.1202,12.0052,4.8282,0.1112
17120.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17240.0,0,0.0658,0.0785,0.0851,12.0078,4.8300,0.0761
17280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17400.0,0,0.1849,0.2082,0.2164,12.0069,4.8325,0.1982
17440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17560.0,0,0.1971,0.2250,0.2225,12.0034,4.8331,0.1966
17600.0,0,0.1406,0.1593,0.1568,12.0034,4.8328,0.1463
